Approved symbol	Approved name	Synonyms
DBH	dopamine beta-hydroxylase	DBM
DBI	diazepam binding inhibitor, acyl-CoA binding protein	ACBP, ACBD1
DBN1	drebrin 1	
DBNDD1	dysbindin domain containing 1	MGC3101, FLJ12582
DBNDD2	dysbindin domain containing 2	HSMNP1
DBNL	drebrin like	SH3P7, HIP-55, ABP1
DBP	D-box binding PAR bZIP transcription factor	DABP
DBR1	debranching RNA lariats 1	
DBT	dihydrolipoamide branched chain transacylase E2	
DBX1	developing brain homeobox 1	
DBX2	developing brain homeobox 2	FLJ16139
DCAF1	DDB1 and CUL4 associated factor 1	KIAA0800, MGC102804
DCAF4	DDB1 and CUL4 associated factor 4	DKFZp434K114
DCAF4L1	DDB1 and CUL4 associated factor 4 like 1	
DCAF4L2	DDB1 and CUL4 associated factor 4 like 2	
DCAF5	DDB1 and CUL4 associated factor 5	BCRP2, D14S1461E, BCRG2, KIAA1824
DCAF6	DDB1 and CUL4 associated factor 6	PC326
DCAF7	DDB1 and CUL4 associated factor 7	HAN11, SWAN-1
DCAF8	DDB1 and CUL4 associated factor 8	H326, FLJ35857
DCAF8L1	DDB1 and CUL4 associated factor 8 like 1	
DCAF8L2	DDB1 and CUL4 associated factor 8 like 2	
DCAF10	DDB1 and CUL4 associated factor 10	MGC10765, FLJ23201
DCAF11	DDB1 and CUL4 associated factor 11	PRO2389, GL014
DCAF12	DDB1 and CUL4 associated factor 12	DKFZP434O125, MGC1058, CT102, TCC52
DCAF12L1	DDB1 and CUL4 associated factor 12 like 1	KIAA1892L
DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	
DCAF13	DDB1 and CUL4 associated factor 13	DKFZP564O0463, Gm83, HSPC064, Sof1
DCAF15	DDB1 and CUL4 associated factor 15	MGC99481
DCAF16	DDB1 and CUL4 associated factor 16	FLJ20280
DCAF17	DDB1 and CUL4 associated factor 17	FLJ13096
DCAKD	dephospho-CoA kinase domain containing	FLJ22955
DCANP1	dendritic cell associated nuclear protein	DCNP1
DCBLD1	discoidin, CUB and LCCL domain containing 1	MGC46341, dJ94G16.1
DCBLD2	discoidin, CUB and LCCL domain containing 2	CLCP1, ESDN
DCC	DCC netrin 1 receptor	IGDCC1, NTN1R1
DCD	dermcidin	AIDD, PIF, DSEP, HCAP, DCD-1
DCDC1	doublecortin domain containing 1	FLJ46154
DCDC2	doublecortin domain containing 2	RU2, KIAA1154, DCDC2A, NPHP19
DCDC2B	doublecortin domain containing 2B	
DCDC2C	doublecortin domain containing 2C	
DCHS1	dachsous cadherin-related 1	FIB1, KIAA1773, FLJ11790, CDHR6
DCHS2	dachsous cadherin-related 2	CDHJ, FLJ20047, PCDHJ, CDHR7
DCK	deoxycytidine kinase	
DCLK1	doublecortin like kinase 1	KIAA0369, DCLK, DCDC3A
DCLK2	doublecortin like kinase 2	MGC45428, DCDC3, DCDC3B, DCK2
DCLK3	doublecortin like kinase 3	KIAA1765, DCDC3C
DCLRE1A	DNA cross-link repair 1A	SNM1, PSO2, KIAA0086, hSNM1
DCLRE1B	DNA cross-link repair 1B	SNM1B, FLJ12810, FLJ13998, APOLLO
DCLRE1C	DNA cross-link repair 1C	ARTEMIS, FLJ11360, SNM1C, A-SCID
DCN	decorin	DSPG2, SLRR1B
DCP1A	decapping mRNA 1A	HSA275986, SMIF, SMAD4IP1
DCP1B	decapping mRNA 1B	FLJ31638
DCP2	decapping mRNA 2	NUDT20
DCPS	decapping enzyme, scavenger	HSPC015, HINT-5, HSL1, HINT5
DCST1	DC-STAMP domain containing 1	FLJ32785
DCST2	DC-STAMP domain containing 2	FLJ32934
DCSTAMP	dendrocyte expressed seven transmembrane protein	DC-STAMP, FIND
DCT	dopachrome tautomerase	
DCTD	dCMP deaminase	
DCTN1	dynactin subunit 1	
DCTN2	dynactin subunit 2	RBP50, DCTN-50
DCTN3	dynactin subunit 3	DCTN-22
DCTN4	dynactin subunit 4	
DCTN5	dynactin subunit 5	MGC3248, p25
DCTN6	dynactin subunit 6	WS-3
DCTPP1	dCTP pyrophosphatase 1	MGC5627, RS21C6, CDA03, XTP3TPA
DCUN1D1	defective in cullin neddylation 1 domain containing 1	RP42, SCRO, DCUN1L1, Tes3, SCCRO
DCUN1D2	defective in cullin neddylation 1 domain containing 2	FLJ10704, FLJ20092
DCUN1D3	defective in cullin neddylation 1 domain containing 3	MGC48972, FLJ41725, DKFZp686O0290, SCCRO3
DCUN1D4	defective in cullin neddylation 1 domain containing 4	KIAA0276
DCUN1D5	defective in cullin neddylation 1 domain containing 5	MGC2714, FLJ32431
DCX	doublecortin	SCLH, DC, LISX, DBCN, XLIS
DCXR	dicarbonyl and L-xylulose reductase	KIDCR, DCR, SDR20C1
DDA1	DET1 and DDB1 associated 1	PCIA1, MGC2594
DDAH1	dimethylarginine dimethylaminohydrolase 1	DDAH
DDAH2	dimethylarginine dimethylaminohydrolase 2	G6A
DDB1	damage specific DNA binding protein 1	
DDB2	damage specific DNA binding protein 2	DDBB, UV-DDB2, FLJ34321, XPE
DDC	dopa decarboxylase	AADC
DDHD1	DDHD domain containing 1	KIAA1705, PA-PLA1
DDHD2	DDHD domain containing 2	KIAA0725, SPG54
DDI1	DNA damage inducible 1 homolog 1	FLJ36017
DDI2	DNA damage inducible 1 homolog 2	MGC14844
DDIAS	DNA damage induced apoptosis suppressor	FLJ38838, FLJ25416, noxin
DDIT3	DNA damage inducible transcript 3	CHOP10, GADD153, CHOP
DDIT4	DNA damage inducible transcript 4	RTP801, FLJ20500, REDD-1, REDD1, Dig2
DDIT4L	DNA damage inducible transcript 4 like	REDD2, Rtp801L
DDN	dendrin	KIAA0749
DDO	D-aspartate oxidase	
DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit	OST, KIAA0115, OST48, WBP1, GATD6
DDR1	discoidin domain receptor tyrosine kinase 1	RTK6, CD167
DDR2	discoidin domain receptor tyrosine kinase 2	TKT
DDRGK1	DDRGK domain containing 1	dJ1187M17.3, UFBP1
DDT	D-dopachrome tautomerase	DDCT, MIF2, MIF-2, D-DT
DDTL	D-dopachrome tautomerase like	
DDX1	DEAD-box helicase 1	DBP-RB
DDX3X	DEAD-box helicase 3 X-linked	DBX, HLP2, DDX14
DDX3Y	DEAD-box helicase 3 Y-linked	
DDX4	DEAD-box helicase 4	VASA
DDX5	DEAD-box helicase 5	p68
DDX6	DEAD-box helicase 6	RCK
DDX10	DEAD-box helicase 10	HRH-J8, Dbp4
DDX11	DEAD/H-box helicase 11	CHLR1, KRG2, CHL1, ChlR1, WABS
DDX17	DEAD-box helicase 17	P72
DDX18	DEAD-box helicase 18	MrDb, Has1
DDX19A	DEAD-box helicase 19A	FLJ11126
DDX19B	DEAD-box helicase 19B	DBP5
DDX20	DEAD-box helicase 20	DP103, GEMIN3
DDX21	DExD-box helicase 21	RH-II/GU, GURDB
DDX23	DEAD-box helicase 23	prp28, U5-100K, PRPF28, SNRNP100
DDX24	DEAD-box helicase 24	
DDX25	DEAD-box helicase 25	GRTH
DDX27	DEAD-box helicase 27	dJ686N3.1, DRS1
DDX28	DEAD-box helicase 28	MDDX28, FLJ11282
DDX31	DEAD-box helicase 31	FLJ13633, FLJ23349, FLJ14578, PPP1R25
DDX39A	DExD-box helicase 39A	DDXL, BAT1L, URH49
DDX39B	DExD-box helicase 39B	D6S81E, UAP56
DDX41	DEAD-box helicase 41	ABS, MGC8828
DDX42	DEAD-box helicase 42	RNAHP, RHELP, SF3b125, SF3B8
DDX43	DEAD-box helicase 43	HAGE, DKFZp434H2114, CT13
DDX46	DEAD-box helicase 46	KIAA0801, FLJ25329, PRPF5, Prp5
DDX47	DEAD-box helicase 47	DKFZp564O176, FLJ30012, HQ0256, RRP3
DDX49	DEAD-box helicase 49	FLJ10432, Dbp8
DDX50	DExD-box helicase 50	GU2, MGC3199, GUB, RH-II/GuB
DDX51	DEAD-box helicase 51	
DDX52	DExD-box helicase 52	ROK1
DDX53	DEAD-box helicase 53	CAGE, CT26
DDX54	DEAD-box helicase 54	MGC2835, APR-5, DP97
DDX55	DEAD-box helicase 55	KIAA1595
DDX56	DEAD-box helicase 56	NOH61
DDX58	DExD/H-box helicase 58	RIG-I, FLJ13599, DKFZp434J1111, RIG-1, RIG1
DDX59	DEAD-box helicase 59	DKFZP564B1023, ZNHIT5
DDX60	DExD/H-box helicase 60	FLJ20035
DDX60L	DExD/H-box 60 like	FLJ31033
DEAF1	DEAF1 transcription factor	NUDR, SPN, ZMYND5
DECR1	2,4-dienoyl-CoA reductase 1	SDR18C1
DECR2	2,4-dienoyl-CoA reductase 2	PDCR, SDR17C1
DEDD	death effector domain containing	DEFT, FLDED1, CASP8IP1, KE05, DEDD1
DEDD2	death effector domain containing 2	FLAME-3
DEF6	DEF6 guanine nucleotide exchange factor	IBP, SLAT, SWAP70L
DEF8	differentially expressed in FDCP 8 homolog	FLJ20186
DEFA1	defensin alpha 1	HNP-1
DEFA1B	defensin alpha 1B	
DEFA3	defensin alpha 3	HNP-3
DEFA4	defensin alpha 4	HP-4
DEFA5	defensin alpha 5	HD-5
DEFA6	defensin alpha 6	HD-6, DEF6
DEFB1	defensin beta 1	HBD-1, DEFB-1, DEFB101, HBD1, BD1, MGC51822
DEFB4A	defensin beta 4A	SAP1, HBD-2, DEFB-2
DEFB4B	defensin beta 4B	
DEFB103A	defensin beta 103A	HBD-3, HBP-3, HBD3, HBP3, DEFB-3
DEFB103B	defensin beta 103B	
DEFB104A	defensin beta 104A	DEFB4, DEFB-4
DEFB104B	defensin beta 104B	
DEFB105A	defensin beta 105A	DEFB-5
DEFB105B	defensin beta 105B	
DEFB106A	defensin beta 106A	DEFB-6
DEFB106B	defensin beta 106B	
DEFB107A	defensin beta 107A	DEFB-7
DEFB107B	defensin beta 107B	HsT21816
DEFB108B	defensin beta 108B	
DEFB110	defensin beta 110	DEFB-10, DEFB-11, DEFB111
DEFB112	defensin beta 112	DEFB-12
DEFB113	defensin beta 113	DEFB-13
DEFB114	defensin beta 114	DEFB-14
DEFB115	defensin beta 115	DEFB-15
DEFB116	defensin beta 116	DEFB-16
DEFB118	defensin beta 118	dJ1018D12.3, DEFB-18, ESC42
DEFB119	defensin beta 119	DEFB-19, DEFB-20
DEFB121	defensin beta 121	DEFB-21
DEFB123	defensin beta 123	DEFB-23
DEFB124	defensin beta 124	DEFB-24
DEFB125	defensin beta 125	DEFB-25
DEFB126	defensin beta 126	bA530N10.1, DEFB-26
DEFB127	defensin beta 127	bA530N10.2, DEF-27
DEFB128	defensin beta 128	DEFB-28
DEFB129	defensin beta 129	bA530N10.3, DEFB-29
DEFB130A	defensin beta 130A	DEFB-30, DEFB30
DEFB130B	defensin beta 130B	
DEFB131A	defensin beta 131A	DEFB-31
DEFB131B	defensin beta 131B	
DEFB132	defensin beta 132	RP5-1103G7.6, DEFB32
DEFB133	defensin beta 133	
DEFB134	defensin beta 134	
DEFB135	defensin beta 135	
DEFB136	defensin beta 136	DEFB137
DEGS1	delta 4-desaturase, sphingolipid 1	MLD, Des-1, DES1, FADS7, DEGS-1
DEGS2	delta 4-desaturase, sphingolipid 2	DES2, FADS8
DEK	DEK proto-oncogene	D6S231E
DELE1	DAP3 binding cell death enhancer 1	DELE
DENND1A	DENN domain containing 1A	FLJ21129, FAM31A
DENND1B	DENN domain containing 1B	MGC27044, FLJ20054
DENND1C	DENN domain containing 1C	FLJ22757
DENND2A	DENN domain containing 2A	FAM31D
DENND2B	DENN domain containing 2B	HTS1, p126
DENND2C	DENN domain containing 2C	FLJ37099, DKFZp686G0351, DKFZp779P1149, dJ1156J9.1, RP5-1156J9.1
DENND2D	DENN domain containing 2D	FLJ22457, RP5-1180E21.2
DENND3	DENN domain containing 3	KIAA0870
DENND4A	DENN domain containing 4A	IRLB
DENND4B	DENN domain containing 4B	
DENND4C	DENN domain containing 4C	FLJ20686, bA513M16.3, RAB10GEF
DENND5A	DENN domain containing 5A	KIAA1091, FLJ22354, FLJ33829, FLJ43455
DENND5B	DENN domain containing 5B	MGC24039
DENND6A	DENN domain containing 6A	FLJ34969, AFI1A
DENND6B	DENN domain containing 6B	MGC33692, AFI1B
DENND10	DENN domain containing 10	
DENND11	DENN domain containing 11	LCHN
DENR	density regulated re-initiation and release factor	DRP, DRP1, SMAP-3
DEPDC1	DEP domain containing 1	DEP.8, FLJ20354, SDP35, DEPDC1A
DEPDC1B	DEP domain containing 1B	XTP1, BRCC3
DEPDC4	DEP domain containing 4	DEP.4, FLJ33505
DEPDC5	DEP domain containing 5, GATOR1 subcomplex subunit	KIAA0645, DEP.5
DEPDC7	DEP domain containing 7	
DEPP1	DEPP1 autophagy regulator	DEPP, FIG, Fseg
DEPTOR	DEP domain containing MTOR interacting protein	DEP.6, FLJ12428
DERA	deoxyribose-phosphate aldolase	CGI-26, DEOC
DERL1	derlin 1	MGC3067, PRO2577, FLJ13784, DER1, DER-1, derlin-1
DERL2	derlin 2	F-LAN-1, FLANa, F-LANa, CGI-101, derlin-2
DERL3	derlin 3	FLJ43842, MGC71803, derlin-3, IZP6
DERPC	DERPC proline and glycine rich nuclear protein	
DES	desmin	CMD1I, CSM1, CSM2
DESI1	desumoylating isopeptidase 1	D15Wsu75e
DESI2	desumoylating isopeptidase 2	CGI-146, FLJ21998, PNAS-4
DET1	DET1 partner of COP1 E3 ubiquitin ligase	FLJ10103
DEUP1	deuterosome assembly protein 1	FLJ25393
DEXI	Dexi homolog	MYLE
DFFA	DNA fragmentation factor subunit alpha	DFF-45, DFF45, ICAD, DFF1
DFFB	DNA fragmentation factor subunit beta	CAD, CPAN, DFF-40, DFF40
DGAT1	diacylglycerol O-acyltransferase 1	ARGP1
DGAT2	diacylglycerol O-acyltransferase 2	
DGAT2L6	diacylglycerol O-acyltransferase 2 like 6	DC3, FLJ25989
DGCR2	DiGeorge syndrome critical region gene 2	KIAA0163, LAN, IDD, DGS-C, SEZ-12
DGCR6	DiGeorge syndrome critical region gene 6	
DGCR6L	DiGeorge syndrome critical region gene 6 like	FLJ10666
DGCR8	DGCR8 microprocessor complex subunit	DGCRK6, Gy1, pasha
DGKA	diacylglycerol kinase alpha	DGK-alpha
DGKB	diacylglycerol kinase beta	KIAA0718, DGK, DGK-BETA
DGKD	diacylglycerol kinase delta	KIAA0145, DGKdelta
DGKE	diacylglycerol kinase epsilon	DAGK6, DGK
DGKG	diacylglycerol kinase gamma	
DGKH	diacylglycerol kinase eta	DGKeta
DGKI	diacylglycerol kinase iota	DGK-IOTA
DGKK	diacylglycerol kinase kappa	
DGKQ	diacylglycerol kinase theta	DAGK, DAGK7
DGKZ	diacylglycerol kinase zeta	DAGK5, hDGKzeta, DGK-ZETA, DAGK6
DGLUCY	D-glutamate cyclase	FLJ39975
DGUOK	deoxyguanosine kinase	dGK
DHCR7	7-dehydrocholesterol reductase	
DHCR24	24-dehydrocholesterol reductase	KIAA0018, seladin-1
DHDDS	dehydrodolichyl diphosphate synthase subunit	HDS, FLJ13102, DS, RP59, hCIT
DHDH	dihydrodiol dehydrogenase	HUM2DD
DHFR	dihydrofolate reductase	
DHFR2	dihydrofolate reductase 2	FLJ16119
DHH	desert hedgehog signaling molecule	HHG-3, MGC35145
DHODH	dihydroorotate dehydrogenase (quinone)	
DHPS	deoxyhypusine synthase	MIG13
DHRS1	dehydrogenase/reductase 1	FLJ25430, MGC20204, SDR19C1
DHRS2	dehydrogenase/reductase 2	HEP27, SDR25C1
DHRS3	dehydrogenase/reductase 3	retSDR1, Rsdr1, SDR1, RDH17, SDR16C1
DHRS4	dehydrogenase/reductase 4	SCAD-SRL, SDR-SRL, humNRDR, FLJ11008, SDR25C2
DHRS4L2	dehydrogenase/reductase 4 like 2	SDR25C3
DHRS7	dehydrogenase/reductase 7	retDSR4, SDR34C1
DHRS7B	dehydrogenase/reductase 7B	DKFZp566O084, MGC8916, CGI-93, SDR32C1
DHRS7C	dehydrogenase/reductase 7C	SDR32C2
DHRS9	dehydrogenase/reductase 9	RDHL, 3alpha-HSD, RETSDR8, RDH15, SDR9C4
DHRS11	dehydrogenase/reductase 11	MGC4172, SDR24C1
DHRS12	dehydrogenase/reductase 12	FLJ13639, SDR40C1
DHRS13	dehydrogenase/reductase 13	MGC23280, SDR7C5
DHRSX	dehydrogenase/reductase X-linked	DHRS5X, DHRSXY, DHRSY, DHRS5Y, SDR46C1, SDR7C6
DHTKD1	dehydrogenase E1 and transketolase domain containing 1	KIAA1630, MGC3090, DKFZP762M115, CMT2Q
DHX8	DEAH-box helicase 8	HRH1, PRP22, PRPF22, Dhr2
DHX9	DExH-box helicase 9	RHA
DHX15	DEAH-box helicase 15	HRH2, DBP1, PRP43, PrPp43p, PRPF43
DHX16	DEAH-box helicase 16	DBP2, Prp2, PRPF2
DHX29	DExH-box helicase 29	
DHX30	DExH-box helicase 30	KIAA0890, FLJ11214
DHX32	DEAH-box helicase 32 (putative)	FLJ10889, FLJ10694, DHLP1
DHX33	DEAH-box helicase 33	FLJ21972, DKFZp762F2011
DHX34	DExH-box helicase 34	KIAA0134
DHX35	DEAH-box helicase 35	FLJ22759, KAIA0875
DHX36	DEAH-box helicase 36	MLEL1, KIAA1488, RHAU
DHX37	DEAH-box helicase 37	KIAA1517, MGC4322, MGC2695, Dhr1
DHX38	DEAH-box helicase 38	PRP16, KIAA0224, hPrp16, PRPF16
DHX40	DEAH-box helicase 40	ARG147, PAD, FLJ22060
DHX57	DExH-box helicase 57	DDX57
DHX58	DExH-box helicase 58	LGP2, D11LGP2
DIABLO	diablo IAP-binding mitochondrial protein	SMAC, DIABLO-S, FLJ25049, FLJ10537, DFNA64
DIAPH1	diaphanous related formin 1	hDIA1, LFHL1
DIAPH2	diaphanous related formin 2	POF, DIA, POF2, DIA2
DIAPH3	diaphanous related formin 3	DRF3, FLJ34705, AN, NSDAN
DICER1	dicer 1, ribonuclease III	Dicer, KIAA0928, K12H4.8-LIKE, HERNA
DIDO1	death inducer-obliterator 1	DIO1, dJ885L7.8, FLJ11265, KIAA0333, DIO-1, BYE1
DIMT1	DIMT1 rRNA methyltransferase and ribosome maturation factor	HSA9761
DIO1	iodothyronine deiodinase 1	
DIO2	iodothyronine deiodinase 2	TXDI2, SelY
DIO3	iodothyronine deiodinase 3	
DIP2A	disco interacting protein 2 homolog A	Dip2, KIAA0184
DIP2B	disco interacting protein 2 homolog B	KIAA1463, FLJ34278
DIP2C	disco interacting protein 2 homolog C	
DIPK1A	divergent protein kinase domain 1A	FLJ23493
DIPK1B	divergent protein kinase domain 1B	MGC20262, C9orf136
DIPK1C	divergent protein kinase domain 1C	
DIPK2A	divergent protein kinase domain 2A	MGC33365, DIA1, HASF
DIPK2B	divergent protein kinase domain 2B	FLJ14103, DIA1R
DIRAS1	DIRAS family GTPase 1	Di-Ras1, GBTS1, RIG
DIRAS2	DIRAS family GTPase 2	Di-Ras2, DKFZp761C07121
DIRAS3	DIRAS family GTPase 3	NOEY2
DIRC1	disrupted in renal carcinoma 1	
DIS3	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	dis3p, RRP44, EXOSC11
DIS3L	DIS3 like exosome 3'-5' exoribonuclease	MGC4562, FLJ38088, KIAA1955, DIS3L1
DIS3L2	DIS3 like 3'-5' exoribonuclease 2	FLJ36974, MGC42174
DISC1	DISC1 scaffold protein	
DISP1	dispatched RND transporter family member 1	DISPA, MGC13130, DKFZP434I0428, MGC16796
DISP2	dispatched RND transporter family member 2	DISPB, KIAA1742, HsT16908
DISP3	dispatched RND transporter family member 3	KIAA1337
DIXDC1	DIX domain containing 1	KIAA1735, Dixin
DKC1	dyskerin pseudouridine synthase 1	XAP101, dyskerin, NAP57, NOLA4, Cbf5
DKK1	dickkopf WNT signaling pathway inhibitor 1	SK, DKK-1
DKK2	dickkopf WNT signaling pathway inhibitor 2	
DKK3	dickkopf WNT signaling pathway inhibitor 3	REIC, RIG
DKK4	dickkopf WNT signaling pathway inhibitor 4	
DKKL1	dickkopf like acrosomal protein 1	SGY-1, CT34
DLAT	dihydrolipoamide S-acetyltransferase	PDC-E2, E2
DLC1	DLC1 Rho GTPase activating protein	HP, ARHGAP7, STARD12, DLC-1, p122-RhoGAP
DLD	dihydrolipoamide dehydrogenase	DLDH, E3
DLEC1	DLEC1 cilia and flagella associated protein	DLC1, CFAP81
DLEU7	deleted in lymphocytic leukemia 7	FLJ44882
DLG1	discs large MAGUK scaffold protein 1	SAP97, SAP-97, hdlg, DLGH1, dJ1061C18.1.1
DLG2	discs large MAGUK scaffold protein 2	PSD-93, PSD93, chapsyn-110, PPP1R58
DLG3	discs large MAGUK scaffold protein 3	NE-Dlg, SAP102, SAP-102, NEDLG, KIAA1232, MRX90, PPP1R82
DLG4	discs large MAGUK scaffold protein 4	PSD-95, PSD95, SAP90, SAP-90
DLG5	discs large MAGUK scaffold protein 5	P-dlg, KIAA0583
DLGAP1	DLG associated protein 1	GKAP, SAPAP1, DAP-1
DLGAP2	DLG associated protein 2	DAP-2
DLGAP3	DLG associated protein 3	SAPAP3, DAP3
DLGAP4	DLG associated protein 4	DAP4, KIAA0964, SAPAP4
DLGAP5	DLG associated protein 5	KIAA0008, DLG1, HURP
DLK1	delta like non-canonical Notch ligand 1	FA1, pG2, Pref-1, ZOG, Delta1
DLK2	delta like non-canonical Notch ligand 2	MGC2487
DLL1	delta like canonical Notch ligand 1	
DLL3	delta like canonical Notch ligand 3	SCDO1
DLL4	delta like canonical Notch ligand 4	
DLST	dihydrolipoamide S-succinyltransferase	
DLX1	distal-less homeobox 1	
DLX2	distal-less homeobox 2	TES-1
DLX3	distal-less homeobox 3	
DLX4	distal-less homeobox 4	DLX8, BP1
DLX5	distal-less homeobox 5	
DLX6	distal-less homeobox 6	
DMAC1	distal membrane arm assembly complex 1	MGC4730
DMAC2	distal membrane arm assembly complex 2	FLJ10241
DMAC2L	distal membrane arm assembly complex 2 like	HSU79253, ATPW
DMAP1	DNA methyltransferase 1 associated protein 1	DNMAP1, FLJ11543, KIAA1425, DNMTAP1, EAF2, MEAF2, SWC4
DMBT1	deleted in malignant brain tumors 1	GP340, muclin, SALSA, Gp-340, hensin, vomeroglandin
DMBX1	diencephalon/mesencephalon homeobox 1	PAXB
DMC1	DNA meiotic recombinase 1	LIM15
DMD	dystrophin	BMD, DXS142, DXS164, DXS206, DXS230, DXS239, DXS268, DXS269, DXS270, DXS272
DMGDH	dimethylglycine dehydrogenase	
DMKN	dermokine	ZD52F10
DMP1	dentin matrix acidic phosphoprotein 1	
DMPK	DM1 protein kinase	DMK, DM1PK, MDPK, MT-PK
DMRT1	doublesex and mab-3 related transcription factor 1	DMT1, CT154
DMRT2	doublesex and mab-3 related transcription factor 2	
DMRT3	doublesex and mab-3 related transcription factor 3	
DMRTA1	DMRT like family A1	
DMRTA2	DMRT like family A2	
DMRTB1	DMRT like family B with proline rich C-terminal 1	
DMRTC1	DMRT like family C1	
DMRTC1B	DMRT like family C1B	
DMRTC2	DMRT like family C2	
DMTF1	cyclin D binding myb like transcription factor 1	DMP1, DMTF, hDMP1, MRUL
DMTN	dematin actin binding protein	DMT
DMWD	DM1 locus, WD repeat containing	DMR-N9, gene59, D19S593E
DMXL1	Dmx like 1	
DMXL2	Dmx like 2	RC3, KIAA0856, DFNA71
DNA2	DNA replication helicase/nuclease 2	KIAA0083
DNAAF1	dynein axonemal assembly factor 1	FLJ25330, ODA7, CILD13, swt
DNAAF2	dynein axonemal assembly factor 2	FLJ10563, KTU, PF13, CILD10
DNAAF3	dynein axonemal assembly factor 3	FLJ40069, FLJ36139, PF22, PCD
DNAAF4	dynein axonemal assembly factor 4	EKN1, FLJ37882, CILD25
DNAAF5	dynein axonemal assembly factor 5	FLJ20397, FLJ31671, FLJ39381, FLJ25564, CILD18
DNAH1	dynein axonemal heavy chain 1	XLHSRF-1, DNAHC1, HDHC7, HL-11, HL11
DNAH2	dynein axonemal heavy chain 2	KIAA1503, FLJ46675
DNAH3	dynein axonemal heavy chain 3	Dnahc3b, DLP3, Hsadhc3, DKFZp434N074
DNAH5	dynein axonemal heavy chain 5	Dnahc5, HL1, PCD, CILD3, KTGNR
DNAH6	dynein axonemal heavy chain 6	Dnahc6, HL-2, FLJ37357
DNAH7	dynein axonemal heavy chain 7	KIAA0944
DNAH8	dynein axonemal heavy chain 8	hdhc9
DNAH9	dynein axonemal heavy chain 9	Dnahc9, KIAA0357, HL20, HL-20, DNAL1, DYH9
DNAH10	dynein axonemal heavy chain 10	FLJ43808
DNAH10OS	dynein axonemal heavy chain 10 opposite strand	FLJ45278
DNAH11	dynein axonemal heavy chain 11	Dnahc11, DPL11, CILD7, DNAHC11, DNAHBL, DNHBL
DNAH12	dynein axonemal heavy chain 12	DLP12, Dnahc3, HL-19, hdhc3, DHC3, FLJ40427, FLJ44290
DNAH14	dynein axonemal heavy chain 14	Dnahc14, HL-18, HL18, DKFZp781B1548, MGC27277
DNAH17	dynein axonemal heavy chain 17	DNEL2, FLJ40457
DNAI1	dynein axonemal intermediate chain 1	DIC1, PCD, CILD1
DNAI2	dynein axonemal intermediate chain 2	CILD9, DIC2
DNAJA1	DnaJ heat shock protein family (Hsp40) member A1	HSPF4, hdj-2, dj-2, NEDD7
DNAJA2	DnaJ heat shock protein family (Hsp40) member A2	HIRIP4, DNAJ, CPR3, DNJ3
DNAJA3	DnaJ heat shock protein family (Hsp40) member A3	hTid-1
DNAJA4	DnaJ heat shock protein family (Hsp40) member A4	PRO1472
DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	Hsp40, Sis1, RSPH16B
DNAJB2	DnaJ heat shock protein family (Hsp40) member B2	HSPF3, CMT2T
DNAJB4	DnaJ heat shock protein family (Hsp40) member B4	HLJ1
DNAJB5	DnaJ heat shock protein family (Hsp40) member B5	Hsc40
DNAJB6	DnaJ heat shock protein family (Hsp40) member B6	MRJ
DNAJB7	DnaJ heat shock protein family (Hsp40) member B7	HSC3
DNAJB8	DnaJ heat shock protein family (Hsp40) member B8	MGC33884, CT156
DNAJB9	DnaJ heat shock protein family (Hsp40) member B9	
DNAJB11	DnaJ heat shock protein family (Hsp40) member B11	EDJ, HEDJ, ERdj3
DNAJB12	DnaJ heat shock protein family (Hsp40) member B12	DJ10, FLJ20027
DNAJB13	DnaJ heat shock protein family (Hsp40) member B13	TSARG6, RSPH16A
DNAJB14	DnaJ heat shock protein family (Hsp40) member B14	FLJ14281
DNAJC1	DnaJ heat shock protein family (Hsp40) member C1	DNAJL1, ERdj1, MTJ1
DNAJC2	DnaJ heat shock protein family (Hsp40) member C2	MPP11, MPHOSPH11, ZUO1, zuotin
DNAJC3	DnaJ heat shock protein family (Hsp40) member C3	P58, P58IPK, HP58, ERdj6, p58(IPK)
DNAJC4	DnaJ heat shock protein family (Hsp40) member C4	MCG18
DNAJC5	DnaJ heat shock protein family (Hsp40) member C5	FLJ00118, FLJ13070, DNAJC5A
DNAJC5B	DnaJ heat shock protein family (Hsp40) member C5 beta	MGC26226, CSP-beta
DNAJC5G	DnaJ heat shock protein family (Hsp40) member C5 gamma	FLJ40417, CSP-gamma
DNAJC6	DnaJ heat shock protein family (Hsp40) member C6	KIAA0473, PARK19
DNAJC7	DnaJ heat shock protein family (Hsp40) member C7	TPR2
DNAJC8	DnaJ heat shock protein family (Hsp40) member C8	SPF31
DNAJC9	DnaJ heat shock protein family (Hsp40) member C9	JDD1, SB73
DNAJC10	DnaJ heat shock protein family (Hsp40) member C10	ERdj5, PDIA19
DNAJC11	DnaJ heat shock protein family (Hsp40) member C11	FLJ10737
DNAJC12	DnaJ heat shock protein family (Hsp40) member C12	JDP1
DNAJC13	DnaJ heat shock protein family (Hsp40) member C13	RME8, KIAA0678
